Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
748,Kellen Davis\DaviKe01,2011,26,5-158,CHI,NFL,16,15,35,18,206,11.44,5,12.9,51.4%,5.89
749,Jack Doyle\DoylJa00,2014,24,,IND,NFL,16,1,22,18,118,6.56,2,7.4,81.8%,5.36
750,Joseph Fauria\FaurJo00,2013,23,,DET,NFL,16,2,30,18,207,11.50,7,12.9,60.0%,6.90
751,Casey Fitzsimmons\FitzCa00,2009,29,,DET,NFL,12,1,27,18,128,7.11,0,10.7,66.7%,4.74
752,Zeron Flemister\FlemZe00,2001,25,,WAS,NFL,16,1,29,18,196,10.89,2,12.3,62.1%,6.76
753,Bryan Fletcher\FletBr00,2006,27,6-210,IND,NFL,15,3,25,18,202,11.22,2,13.5,72.0%,8.08
754,Bryan Fletcher\FletBr00,2007,28,6-210,IND,NFL,15,3,27,18,143,7.94,0,9.5,66.7%,5.30
755,Bryan Fletcher\FletBr00,2005,26,6-210,IND,NFL,16,12,27,18,202,11.22,3,12.6,66.7%,7.48
756,Bubba Franks\FranBu00,2007,29,1-14,GNB,NFL,8,1,32,18,132,7.33,3,16.5,56.3%,4.13
757,Dallas Goedert\GoedDa00,2018,23,,PHI,NFL,8,4,21,18,188,10.44,3,23.5,85.7%,8.95
758,Daniel Graham\GrahDa00,2010,32,1-21,DEN,NFL,16,16,37,18,148,8.22,0,9.3,48.6%,4.00
759,Garrett Graham\GrahGa00,2014,28,4-118,HOU,NFL,11,9,28,18,197,10.94,1,17.9,64.3%,7.04
760,Ladarius Green\GreeLa00,2016,26,4-110,PIT,NFL,6,2,34,18,304,16.89,1,50.7,52.9%,8.94
761,Jermaine Gresham\GresJe00,2015,27,1-21,ARI,NFL,15,12,32,18,223,12.39,1,14.9,56.3%,6.97
762,Demetrius Harris\HarrDe03,2017,26,,KAN,NFL,16,7,35,18,224,12.44,1,14.0,51.4%,6.40
763,Steve Heiden\HeidSt00,2003,27,3-69,CLE,NFL,9,9,31,18,134,7.44,0,14.9,58.1%,4.32
764,Lance Kendricks\KendLa00,2017,29,2-47,GNB,NFL,16,9,35,18,203,11.28,1,12.7,51.4%,5.80
765,Dan Kreider\KreiDa00,2002,25,,PIT,NFL,16,13,25,18,122,6.78,1,7.6,72.0%,4.88
766,Marcedes Lewis\LewiMa00,2014,30,1-28,JAX,NFL,8,8,31,18,206,11.44,2,25.8,58.1%,6.65
767,Anthony McCoy\McCoAn00,2012,25,6-185,SEA,NFL,16,5,28,18,291,16.17,3,18.2,64.3%,10.39
768,Mikhael Ricks\RickMi00,2001,27,2-59,KAN,NFL,16,0,30,18,252,14.00,1,15.8,60.0%,8.40
769,Mychal Rivera\RiveMy00,2016,26,6-184,OAK,NFL,13,2,25,18,192,10.67,1,14.8,72.0%,7.68
770,Dante Rosario\RosaDa00,2008,24,5-155,CAR,NFL,16,6,31,18,209,11.61,1,13.1,58.1%,6.74
771,Robert Royal\RoyaRo00,2005,26,5-160,WAS,NFL,15,14,35,18,131,7.28,1,8.7,51.4%,3.74
772,Tony Scheffler\ScheTo00,2006,23,2-61,DEN,NFL,13,5,37,18,286,15.89,4,22.0,48.6%,7.73
773,Matt Schobel\SchoMa00,2005,27,3-67,CIN,NFL,16,1,25,18,193,10.72,1,12.1,72.0%,7.72
774,Aaron Shea\SheaAa00,2005,29,4-110,CLE,NFL,12,4,32,18,153,8.50,1,12.8,56.3%,4.78
775,Dion Sims\SimsDi00,2015,24,4-106,MIA,NFL,13,4,25,18,127,7.06,1,9.8,72.0%,5.08
776,Jonnu Smith\SmitJo01,2017,22,3-100,TEN,NFL,16,13,30,18,157,8.72,2,9.8,60.0%,5.23
777,Jerramy Stevens\StevJe00,2007,28,1-28,TAM,NFL,14,3,21,18,189,10.50,4,13.5,85.7%,9.00
778,Jed Weaver\WeavJe00,2001,25,7-208,MIA,NFL,16,7,25,18,215,11.94,2,13.4,72.0%,8.60
779,Jermaine Wiggins\WiggJe00,2000,25,,2TM,NFL,15,2,28,18,207,11.50,2,13.8,64.3%,7.39
780,Martellus Bennett\BennMa00,2011,24,2-61,DAL,NFL,14,7,26,17,144,8.47,0,10.3,65.4%,5.54
781,Mark Bruener\BrueMa00,2000,28,1-27,PIT,NFL,16,16,34,17,192,11.29,3,12.0,50.0%,5.65
782,Mark Campbell\CampMa00,2004,29,,BUF,NFL,12,12,30,17,203,11.94,5,16.9,56.7%,6.77
783,Derek Carrier\CarrDe00,2015,25,,WAS,NFL,12,12,22,17,141,8.29,1,11.8,77.3%,6.41
784,John Davis\DaviJo00,2000,27,5-2,MIN,NFL,15,9,29,17,202,11.88,1,13.5,58.6%,6.97
785,Ed Dickson\DickEd00,2015,28,3-70,CAR,NFL,16,11,26,17,121,7.12,2,7.6,65.4%,4.65
786,Jim Dray\DrayJi00,2014,28,7-233,CLE,NFL,16,8,27,17,242,14.24,1,15.1,63.0%,8.96
787,Jason Dunn\DunnJa00,2004,31,2-54,KAN,NFL,16,0,25,17,120,7.06,3,7.5,68.0%,4.80
