Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
988,Hines Ward\WardHi00,2011,35,3-92,PIT,NFL,15,9,63,46,381,8.28,2,25.4,73.0%,6.05
989,Nate Washington\WashNa00,2012,29,,TEN,NFL,16,14,89,46,746,16.22,4,46.6,51.7%,8.38
990,Robert Woods\WoodRo02,2018,26,2-41,LAR,NFL,8,8,65,46,672,14.61,3,84.0,70.8%,10.34
991,Corey Bradford\BradCo00,2002,27,5-150,HOU,NFL,16,16,106,45,697,15.49,6,43.6,42.5%,6.58
992,Deion Branch\BranDe00,2009,30,2-65,SEA,NFL,14,5,79,45,437,9.71,2,31.2,57.0%,5.53
993,Kenny Britt\BritKe00,2012,24,1-30,TEN,NFL,14,11,90,45,589,13.09,4,42.1,50.0%,6.54
994,Dez Bryant\BryaDe01,2010,22,1-24,DAL,NFL,12,2,73,45,561,12.47,6,46.8,61.6%,7.68
995,Plaxico Burress\BurrPl00,2011,34,1-8,NYJ,NFL,16,13,96,45,612,13.60,8,38.3,46.9%,6.38
996,Chris Chambers\ChamCh00,2009,31,2-52,2TM,NFL,16,14,92,45,730,16.22,5,45.6,48.9%,7.93
997,Jamaal Charles\CharJa00,2010,24,3-73,KAN,NFL,16,6,64,45,468,10.40,3,29.3,70.3%,7.31
998,Marques Colston\ColsMa00,2015,32,7-252,NOR,NFL,13,5,67,45,520,11.56,4,40.0,67.2%,7.76
999,Braylon Edwards\EdwaBr00,2009,26,1-3,2TM,NFL,16,15,95,45,680,15.11,4,42.5,47.4%,7.16
1000,Malcom Floyd\FloyMa00,2009,28,,SDG,NFL,16,9,76,45,776,17.24,1,48.5,59.2%,10.21
1001,Michael Floyd\FloyMi00,2012,23,1-13,ARI,NFL,16,3,86,45,562,12.49,2,35.1,52.3%,6.53
1002,Ryan Grant\GranRy01,2017,27,5-142,WAS,NFL,16,7,65,45,573,12.73,4,35.8,69.2%,8.82
1003,A.J. Green\GreeA.00,2018,30,1-4,CIN,NFL,8,8,76,45,687,15.27,6,85.9,59.2%,9.04
1004,D.J. Hackett\HackD.00,2006,25,5-157,SEA,NFL,14,5,66,45,610,13.56,4,43.6,68.2%,9.24
1005,DeSean Jackson\JackDe00,2012,26,2-49,PHI,NFL,11,11,87,45,700,15.56,2,63.6,51.7%,8.05
1006,Greg Jennings\JennGr00,2006,23,2-52,GNB,NFL,14,11,104,45,632,14.04,3,45.1,43.3%,6.08
1007,Bryant Johnson\JohnBr02,2008,27,1-17,SFO,NFL,16,12,75,45,546,12.13,3,34.1,60.0%,7.28
1008,Keyshawn Johnson\JohnKe00,2003,31,1-1,TAM,NFL,10,10,74,45,600,13.33,3,60.0,60.8%,8.11
1009,Steve Johnson\JohnSt00,2015,29,7-224,SDG,NFL,10,8,65,45,497,11.04,3,49.7,69.2%,7.65
1010,Johnny Knox\KnoxJo00,2009,23,5-140,CHI,NFL,15,0,80,45,527,11.71,5,35.1,56.3%,6.59
1011,Tyler Lockett\LockTy00,2017,25,3-69,SEA,NFL,16,8,71,45,555,12.33,2,34.7,63.4%,7.82
1012,Robert Meachem\MeacRo00,2009,25,1-27,NOR,NFL,16,7,64,45,722,16.04,9,45.1,70.3%,11.28
1013,Santana Moss\MossSa00,2004,25,1-16,NYJ,NFL,15,14,78,45,838,18.62,5,55.9,57.7%,10.74
1014,Jordy Nelson\NelsJo00,2010,25,2-36,GNB,NFL,16,4,64,45,582,12.93,2,36.4,70.3%,9.09
1015,Cordarrelle Patterson\PattCo00,2013,22,1-29,MIN,NFL,16,6,77,45,469,10.42,4,29.3,58.4%,6.09
1016,Peerless Price\PricPe00,2004,28,2-53,ATL,NFL,16,15,106,45,575,12.78,3,35.9,42.5%,5.42
1017,Brandon Stokley\StokBr00,2012,36,4-105,DEN,NFL,15,9,58,45,544,12.09,5,36.3,77.6%,9.38
1018,Golden Tate\TateGo00,2012,24,2-60,SEA,NFL,15,15,68,45,688,15.29,7,45.9,66.2%,10.12
1019,Dez White\WhitDe00,2001,22,3-69,CHI,NFL,14,6,82,45,428,9.51,0,30.6,54.9%,5.22
1020,Ernest Wilford\WilfEr00,2007,28,4-120,JAX,NFL,16,14,74,45,518,11.51,3,32.4,60.8%,7.00
1021,Damian Williams\WillDa04,2011,23,3-77,TEN,NFL,15,13,94,45,592,13.16,5,39.5,47.9%,6.30
1022,Roy Williams\WillRo04,2005,24,1-7,DET,NFL,13,12,94,45,687,15.27,8,52.8,47.9%,7.31
1023,Anthony Armstrong\ArmsAn00,2010,27,,WAS,NFL,15,11,86,44,871,19.80,3,58.1,51.2%,10.13
