Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,name,key,Round,Pick,ageGroup
77,Marshawn Lynch\LyncMa00,2012,26,1-12,SEA,NFL,16,15,315,1590,5.05,11,99.4,Marshawn Lynch,MarshawnLynch26SEA2012,1,22,25-28
78,LaDainian Tomlinson*\TomlLa00,2007,28,1-5,SDG,NFL,16,16,315,1474,4.68,15,92.1,LaDainian Tomlinson*,LaDainianTomlinson*28SDG2007,1,127,25-28
79,Corey Dillon\DillCo00,2002,28,2-43,CIN,NFL,16,16,314,1311,4.18,7,81.9,Corey Dillon,CoreyDillon28CIN2002,2,121,25-28
80,Thomas Jones\JoneTh00,2005,27,1-7,CHI,NFL,15,15,314,1335,4.25,9,89,Thomas Jones,ThomasJones27CHI2005,1,145,25-28
81,Jamal Lewis\LewiJa00,2006,27,1-5,BAL,NFL,16,16,314,1132,3.61,9,70.8,Jamal Lewis,JamalLewis27BAL2006,1,127,25-28
82,LeSean McCoy\McCoLe01,2013,25,2-53,PHI,NFL,16,16,314,1607,5.12,9,100.4,LeSean McCoy,LeSeanMcCoy25PHI2013,2,130,25-28
83,Adrian Peterson\PeteAd01,2009,24,1-7,MIN,NFL,16,15,314,1383,4.4,18,86.4,Adrian Peterson,AdrianPeterson24MIN2009,1,145,< 24
84,Priest Holmes\HolmPr00,2002,29,NA,KAN,NFL,14,14,313,1615,5.16,21,115.4,Priest Holmes,PriestHolmes29KAN2002,Undrafted,Undrafted,29-32
85,Lamar Smith\SmitLa00,2001,31,3-73,MIA,NFL,16,16,313,968,3.09,6,60.5,Lamar Smith,LamarSmith31MIA2001,3,147,29-32
86,LaDainian Tomlinson*\TomlLa00,2003,24,1-5,SDG,NFL,16,16,313,1645,5.26,13,102.8,LaDainian Tomlinson*,LaDainianTomlinson*24SDG2003,1,127,< 24
87,Ricky Williams\WillRi00,2001,24,1-5,NOR,NFL,16,16,313,1245,3.98,6,77.8,Ricky Williams,RickyWilliams24NOR2001,1,127,< 24
88,Eddie George\GeorEd00,2003,30,1-14,TEN,NFL,16,16,312,1031,3.3,5,64.4,Eddie George,EddieGeorge30TEN2003,1,38,29-32
89,Frank Gore\GoreFr00,2006,23,3-65,SFO,NFL,16,16,312,1695,5.43,8,105.9,Frank Gore,FrankGore23SFO2006,3,142,< 24
90,Ryan Grant\GranRy00,2008,26,NA,GNB,NFL,16,14,312,1203,3.86,4,75.2,Ryan Grant,RyanGrant26GNB2008,Undrafted,Undrafted,25-28
91,Maurice Jones-Drew\DrewMa00,2009,24,2-60,JAX,NFL,16,16,312,1391,4.46,15,86.9,Maurice Jones-Drew,MauriceJones-Drew24JAX2009,2,137,< 24
92,LeSean McCoy\McCoLe01,2014,26,2-53,PHI,NFL,16,16,312,1319,4.23,5,82.4,LeSean McCoy,LeSeanMcCoy26PHI2014,2,130,25-28
93,Edgerrin James\JameEd00,2003,25,1-4,IND,NFL,13,13,310,1259,4.06,11,96.8,Edgerrin James,EdgerrinJames25IND2003,1,118,25-28
94,Thomas Jones\JoneTh00,2007,29,1-7,NYJ,NFL,16,14,310,1119,3.61,1,69.9,Thomas Jones,ThomasJones29NYJ2007,1,145,29-32
95,Shaun Alexander\AlexSh00,2001,24,1-19,SEA,NFL,16,12,309,1318,4.27,14,82.4,Shaun Alexander,ShaunAlexander24SEA2001,1,71,< 24
96,Reuben Droughns\DrouRe00,2005,27,3-81,CLE,NFL,16,16,309,1232,3.99,2,77,Reuben Droughns,ReubenDroughns27CLE2005,3,155,25-28
97,Jamal Lewis\LewiJa00,2000,21,1-5,BAL,NFL,16,13,309,1364,4.41,6,85.3,Jamal Lewis,JamalLewis21BAL2000,1,127,< 24
98,Lamar Smith\SmitLa00,2000,30,3-73,MIA,NFL,15,15,309,1139,3.69,14,75.9,Lamar Smith,LamarSmith30MIA2000,3,147,29-32
99,Jamal Lewis\LewiJa00,2002,23,1-5,BAL,NFL,16,15,308,1327,4.31,6,82.9,Jamal Lewis,JamalLewis23BAL2002,1,127,< 24
100,Ray Rice\RiceRa00,2010,23,2-55,BAL,NFL,16,14,307,1220,3.97,5,76.3,Ray Rice,RayRice23BAL2010,2,132,< 24
101,Tiki Barber\BarbTi00,2002,27,2-36,NYG,NFL,16,15,304,1387,4.56,11,86.7,Tiki Barber,TikiBarber27NYG2002,2,114,25-28
102,Ahman Green\GreeAh00,2001,24,3-76,GNB,NFL,16,16,304,1387,4.56,9,86.7,Ahman Green,AhmanGreen24GNB2001,3,150,< 24
103,Chester Taylor\TaylCh01,2006,27,6-207,MIN,NFL,15,15,303,1216,4.01,6,81.1,Chester Taylor,ChesterTaylor27MIN2006,6,82,25-28
104,LenDale White\WhitLe01,2007,23,2-45,TEN,NFL,16,16,303,1110,3.66,7,69.4,LenDale White,LenDaleWhite23TEN2007,2,123,< 24
105,Domanick Williams\DaviDo01,2004,24,4-101,HOU,NFL,15,15,302,1188,3.93,13,79.2,Domanick Williams,DomanickWilliams24HOU2004,4,4,< 24
106,Cedric Benson\BensCe00,2009,27,1-4,CIN,NFL,13,13,301,1251,4.16,6,96.2,Cedric Benson,CedricBenson27CIN2009,1,118,25-28
107,Marshawn Lynch\LyncMa00,2013,27,1-12,SEA,NFL,16,16,301,1257,4.18,12,78.6,Marshawn Lynch,MarshawnLynch27SEA2013,1,22,25-28
108,Michael Turner\TurnMi00,2011,29,5-154,ATL,NFL,16,15,301,1340,4.45,11,83.8,Michael Turner,MichaelTurner29ATL2011,5,49,29-32
109,LeGarrette Blount\BlouLe00,2016,30,NA,NWE,NFL,16,8,299,1161,3.88,18,72.6,LeGarrette Blount,LeGarretteBlount30NWE2016,Undrafted,Undrafted,29-32
110,Maurice Jones-Drew\DrewMa00,2010,25,2-60,JAX,NFL,14,14,299,1324,4.43,5,94.6,Maurice Jones-Drew,MauriceJones-Drew25JAX2010,2,137,25-28
111,Jamal Lewis\LewiJa00,2007,28,1-5,CLE,NFL,15,15,298,1304,4.38,9,86.9,Jamal Lewis,JamalLewis28CLE2007,1,127,25-28
112,Mike Anderson\AndeMi00,2000,27,6-189,DEN,NFL,16,12,297,1487,5.01,15,92.9,Mike Anderson,MikeAnderson27DEN2000,6,70,25-28
113,Thomas Jones\JoneTh00,2006,28,1-7,CHI,NFL,16,16,296,1210,4.09,6,75.6,Thomas Jones,ThomasJones28CHI2006,1,145,25-28
