Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt,name,key,Round,Pick,ageGroup
74,Tony Gonzalez\GonzTo00,2003,27,1-13,KAN,NFL,16,16,106,71,916,12.9,10,57.3,67.0%,8.64,Tony Gonzalez,TonyGonzalez27KAN2003,1,23,25-28
75,Freddie Jones\JoneFr00,2000,26,2-45,SDG,NFL,16,16,126,71,766,10.79,5,47.9,56.3%,6.08,Freddie Jones,FreddieJones26SDG2000,3,108,25-28
76,Heath Miller\MillHe00,2012,30,1-30,PIT,NFL,15,15,101,71,816,11.49,8,54.4,70.3%,8.08,Heath Miller,HeathMiller30PIT2012,1,96,29-32
77,Brandon Pettigrew\PettBr00,2010,25,1-20,DET,NFL,16,16,111,71,722,10.17,4,45.1,64.0%,6.5,Brandon Pettigrew,BrandonPettigrew25DET2010,1,66,25-28
78,Jermaine Wiggins\WiggJe00,2004,29,NA,MIN,NFL,14,13,92,71,705,9.93,4,50.4,77.2%,7.66,Jermaine Wiggins,JermaineWiggins29MIN2004,Undrafted,Undrafted,29-32
79,Owen Daniels\DaniOw00,2008,26,4-98,HOU,NFL,16,16,101,70,862,12.31,2,53.9,69.3%,8.53,Owen Daniels,OwenDaniels26HOU2008,5,146,25-28
80,Tony Gonzalez\GonzTo00,2010,34,1-13,ATL,NFL,16,16,108,70,656,9.37,6,41,64.8%,6.07,Tony Gonzalez,TonyGonzalez34ATL2010,1,23,32+
81,Frank Wycheck\WychFr00,2000,29,6-160,TEN,NFL,16,16,109,70,636,9.09,4,39.8,64.2%,5.83,Frank Wycheck,FrankWycheck29TEN2000,7,43,29-32
82,Charles Clay\ClayCh00,2013,24,6-174,MIA,NFL,16,15,102,69,759,11,6,47.4,67.6%,7.44,Charles Clay,CharlesClay24MIA2013,7,50,< 24
83,Antonio Gates\GateAn00,2014,34,NA,SDG,NFL,16,14,98,69,821,11.9,12,51.3,70.4%,8.38,Antonio Gates,AntonioGates34SDG2014,Undrafted,Undrafted,32+
84,Rob Gronkowski\GronRo00,2017,28,2-42,NWE,NFL,14,14,105,69,1084,15.71,8,77.4,65.7%,10.32,Rob Gronkowski,RobGronkowski28NWE2017,3,105,25-28
85,Chad Lewis\LewiCh00,2000,29,NA,PHI,NFL,16,16,110,69,735,10.65,3,45.9,62.7%,6.68,Chad Lewis,ChadLewis29PHI2000,Undrafted,Undrafted,29-32
86,Greg Olsen\OlseGr00,2012,27,1-31,CAR,NFL,16,16,104,69,843,12.22,5,52.7,66.3%,8.11,Greg Olsen,GregOlsen27CAR2012,1,97,25-28
87,Jermaine Wiggins\WiggJe00,2005,30,NA,MIN,NFL,16,8,92,69,568,8.23,1,35.5,75.0%,6.17,Jermaine Wiggins,JermaineWiggins30MIN2005,Undrafted,Undrafted,29-32
88,Jason Witten\WittJa00,2016,34,3-69,DAL,NFL,16,16,95,69,673,9.75,3,42.1,72.6%,7.08,Jason Witten,JasonWitten34DAL2016,4,126,32+
89,Todd Heap\HeapTo00,2002,22,1-31,BAL,NFL,16,16,122,68,836,12.29,6,52.3,55.7%,6.85,Todd Heap,ToddHeap22BAL2002,1,97,< 24
90,Ben Watson\WatsBe00,2010,30,1-32,CLE,NFL,16,16,102,68,763,11.22,3,47.7,66.7%,7.48,Ben Watson,BenWatson30CLE2010,1,98,29-32
91,Vernon Davis\DaviVe00,2011,27,1-6,SFO,NFL,16,16,95,67,792,11.82,6,49.5,70.5%,8.34,Vernon Davis,VernonDavis27SFO2011,1,119,25-28
92,Travis Kelce\KelcTr00,2014,25,3-63,KAN,NFL,16,11,87,67,862,12.87,5,53.9,77.0%,9.91,Travis Kelce,TravisKelce25KAN2014,4,121,25-28
93,Shannon Sharpe*\SharSh00,2000,32,7-192,BAL,NFL,16,15,105,67,810,12.09,5,50.6,63.8%,7.71,Shannon Sharpe*,ShannonSharpe*32BAL2000,8,61,29-32
94,Jacob Tamme\TammJa00,2010,25,4-127,IND,NFL,16,8,93,67,631,9.42,4,39.4,72.0%,6.78,Jacob Tamme,JacobTamme25IND2010,5,20,25-28
95,Chris Cooley\CoolCh00,2007,25,3-81,WAS,NFL,16,16,110,66,786,11.91,8,49.1,60.0%,7.15,Chris Cooley,ChrisCooley25WAS2007,4,133,25-28
96,Heath Miller\MillHe00,2014,32,1-30,PIT,NFL,16,16,91,66,761,11.53,3,47.6,72.5%,8.36,Heath Miller,HeathMiller32PIT2014,1,96,29-32
97,Zach Miller\MillZa01,2009,24,2-38,OAK,NFL,15,15,99,66,805,12.2,3,53.7,66.7%,8.13,Zach Miller,ZachMiller24OAK2009,3,102,< 24
98,Jordan Reed\ReedJo02,2016,26,3-85,WAS,NFL,12,8,89,66,686,10.39,6,57.2,74.2%,7.71,Jordan Reed,JordanReed26WAS2016,4,134,25-28
99,Jeremy Shockey\ShocJe00,2006,26,1-14,NYG,NFL,15,15,115,66,623,9.44,7,41.5,57.4%,5.42,Jeremy Shockey,JeremyShockey26NYG2006,1,29,25-28
100,Kellen Winslow\WinsKe01,2010,27,1-6,TAM,NFL,16,11,98,66,730,11.06,5,45.6,67.3%,7.45,Kellen Winslow,KellenWinslow27TAM2010,1,119,25-28
101,Jason Witten\WittJa00,2005,23,3-69,DAL,NFL,16,16,89,66,757,11.47,6,47.3,74.2%,8.51,Jason Witten,JasonWitten23DAL2005,4,126,< 24
102,Martellus Bennett\BennMa00,2013,26,2-61,CHI,NFL,16,15,94,65,759,11.68,5,47.4,69.1%,8.07,Martellus Bennett,MartellusBennett26CHI2013,3,120,25-28
103,Alge Crumpler\CrumAl00,2005,28,2-35,ATL,NFL,16,16,118,65,877,13.49,5,54.8,55.1%,7.43,Alge Crumpler,AlgeCrumpler28ATL2005,3,100,25-28
104,Jimmy Graham\GrahJi00,2016,30,3-95,SEA,NFL,16,15,95,65,923,14.2,6,57.7,68.4%,9.72,Jimmy Graham,JimmyGraham30SEA2016,4,145,29-32
105,Dustin Keller\KellDu00,2011,27,1-30,NYJ,NFL,16,12,115,65,815,12.54,5,50.9,56.5%,7.09,Dustin Keller,DustinKeller27NYJ2011,1,96,25-28
106,Jeremy Shockey\ShocJe00,2005,25,1-14,NYG,NFL,15,15,121,65,891,13.71,7,59.4,53.7%,7.36,Jeremy Shockey,JeremyShockey25NYG2005,1,29,25-28
107,Julius Thomas\ThomJu00,2013,25,4-129,DEN,NFL,14,14,90,65,788,12.12,12,56.3,72.2%,8.76,Julius Thomas,JuliusThomas25DEN2013,5,22,25-28
108,Delanie Walker\WalkHu00,2016,32,6-175,TEN,NFL,15,10,102,65,800,12.31,7,53.3,63.7%,7.84,Delanie Walker,DelanieWalker32TEN2016,7,51,29-32
109,Kyle Brady\BradKy00,2000,28,1-9,JAX,NFL,16,15,94,64,729,11.39,3,45.6,68.1%,7.76,Kyle Brady,KyleBrady28JAX2000,1,139,25-28
110,Evan Engram\EngrEv00,2017,23,1-23,NYG,NFL,15,11,115,64,722,11.28,6,48.1,55.7%,6.28,Evan Engram,EvanEngram23NYG2017,1,81,< 24
111,Antonio Gates\GateAn00,2011,31,NA,SDG,NFL,13,13,88,64,778,12.16,7,59.8,72.7%,8.84,Antonio Gates,AntonioGates31SDG2011,Undrafted,Undrafted,29-32
112,Jermaine Gresham\GresJe00,2012,24,1-21,CIN,NFL,16,15,94,64,737,11.52,5,46.1,68.1%,7.84,Jermaine Gresham,JermaineGresham24CIN2012,1,71,< 24
113,Jason Witten\WittJa00,2006,24,3-69,DAL,NFL,16,15,90,64,754,11.78,1,47.1,71.1%,8.38,Jason Witten,JasonWitten24DAL2006,4,126,< 24
114,Jason Witten\WittJa00,2014,32,3-69,DAL,NFL,16,16,90,64,703,10.98,5,43.9,71.1%,7.81,Jason Witten,JasonWitten32DAL2014,4,126,29-32
115,Owen Daniels\DaniOw00,2007,25,4-98,HOU,NFL,16,16,94,63,768,12.19,3,48,67.0%,8.17,Owen Daniels,OwenDaniels25HOU2007,5,146,25-28
116,Larry Donnell\DonnLa00,2014,26,NA,NYG,NFL,16,12,92,63,623,9.89,6,38.9,68.5%,6.77,Larry Donnell,LarryDonnell26NYG2014,Undrafted,Undrafted,25-28
117,Tony Gonzalez\GonzTo00,2002,26,1-13,KAN,NFL,16,16,99,63,773,12.27,7,48.3,63.6%,7.81,Tony Gonzalez,TonyGonzalez26KAN2002,1,23,25-28
118,Delanie Walker\WalkHu00,2014,30,6-175,TEN,NFL,15,14,106,63,890,14.13,4,59.3,59.4%,8.4,Delanie Walker,DelanieWalker30TEN2014,7,51,29-32
119,Jason Witten\WittJa00,2017,35,3-69,DAL,NFL,16,16,87,63,560,8.89,5,35,72.4%,6.44,Jason Witten,JasonWitten35DAL2017,4,126,32+
120,Brent Celek\CeleBr00,2011,26,5-162,PHI,NFL,16,16,98,62,811,13.08,5,50.7,63.3%,8.28,Brent Celek,BrentCelek26PHI2011,6,45,25-28
121,Owen Daniels\DaniOw00,2012,30,4-98,HOU,NFL,15,14,104,62,716,11.55,6,47.7,59.6%,6.88,Owen Daniels,OwenDaniels30HOU2012,5,146,29-32
122,Jermaine Gresham\GresJe00,2014,26,1-21,CIN,NFL,15,15,79,62,460,7.42,5,30.7,78.5%,5.82,Jermaine Gresham,JermaineGresham26CIN2014,1,71,25-28
123,Randy McMichael\McMiRa01,2006,27,4-114,MIA,NFL,16,16,96,62,640,10.32,3,40,64.6%,6.67,Randy McMichael,RandyMcMichael27MIA2006,5,11,25-28
124,Shannon Sharpe*\SharSh00,2003,35,7-192,DEN,NFL,15,15,94,62,770,12.42,8,51.3,66.0%,8.19,Shannon Sharpe*,ShannonSharpe*35DEN2003,8,61,32+
125,Eric Ebron\EbroEr00,2016,23,1-10,DET,NFL,13,13,85,61,711,11.66,1,54.7,71.8%,8.36,Eric Ebron,EricEbron23DET2016,1,1,< 24
