Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt,name,key,Round,Pick,ageGroup
66,Eric Moulds\MoulEr00,2002,29,1-24,BUF,NFL,16,15,180,100,1292,12.92,10,80.8,55.6%,7.18,Eric Moulds,EricMoulds29BUF2002,1,88,29-32
67,Terrell Owens*\OwenTe00,2002,29,3-89,SFO,NFL,14,14,159,100,1300,13,13,92.9,62.9%,8.18,Terrell Owens*,TerrellOwens*29SFO2002,4,165,29-32
68,Rod Smith\SmitRo01,2000,30,NA,DEN,NFL,16,16,173,100,1602,16.02,8,100.1,57.8%,9.26,Rod Smith,RodSmith30DEN2000,Undrafted,Undrafted,29-32
69,Reggie Wayne\WaynRe00,2009,31,1-30,IND,NFL,16,16,149,100,1264,12.64,10,79,67.1%,8.48,Reggie Wayne,ReggieWayne31IND2009,1,102,29-32
70,Roddy White\WhitRo00,2011,30,1-27,ATL,NFL,16,16,180,100,1296,12.96,8,81,55.6%,7.2,Roddy White,RoddyWhite30ATL2011,1,98,29-32
71,Golden Tate\TateGo00,2014,26,2-60,DET,NFL,16,16,144,99,1331,13.44,4,83.2,68.8%,9.24,Golden Tate,GoldenTate26DET2014,3,135,25-28
72,David Boston\BostDa00,2001,23,1-8,ARI,NFL,16,15,175,98,1598,16.31,8,99.9,56.0%,9.13,David Boston,DavidBoston23ARI2001,1,155,< 24
73,Marques Colston\ColsMa00,2007,24,7-252,NOR,NFL,16,14,143,98,1202,12.27,11,75.1,68.5%,8.41,Marques Colston,MarquesColston24NOR2007,8,94,< 24
74,Julian Edelman\EdelJu00,2016,30,7-232,NWE,NFL,16,13,159,98,1106,11.29,3,69.1,61.6%,6.96,Julian Edelman,JulianEdelman30NWE2016,8,84,29-32
75,Mike Furrey\FurrMi00,2006,29,NA,DET,NFL,16,14,146,98,1086,11.08,6,67.9,67.1%,7.44,Mike Furrey,MikeFurrey29DET2006,Undrafted,Undrafted,29-32
76,A.J. Green\GreeA.00,2013,25,1-4,CIN,NFL,16,16,178,98,1426,14.55,11,89.1,55.1%,8.01,A.J. Green,A.J.Green25CIN2013,1,112,25-28
77,Randy Moss*\MossRa00,2007,30,1-21,NWE,NFL,16,16,160,98,1493,15.23,23,93.3,61.3%,9.33,Randy Moss*,RandyMoss*30NWE2007,1,76,29-32
78,Jordy Nelson\NelsJo00,2014,29,2-36,GNB,NFL,16,16,151,98,1519,15.5,13,94.9,64.9%,10.06,Jordy Nelson,JordyNelson29GNB2014,3,108,29-32
79,Marty Booker\BookMa00,2002,26,3-78,CHI,NFL,16,16,168,97,1189,12.26,6,74.3,57.7%,7.08,Marty Booker,MartyBooker26CHI2002,4,153,25-28
80,Troy Brown\BrowTr00,2002,31,8-198,NWE,NFL,14,13,141,97,890,9.18,3,63.6,68.8%,6.31,Troy Brown,TroyBrown31NWE2002,9,70,29-32
81,Larry Fitzgerald\FitzLa00,2009,26,1-3,ARI,NFL,16,16,153,97,1092,11.26,13,68.3,63.4%,7.14,Larry Fitzgerald,LarryFitzgerald26ARI2009,1,101,25-28
82,A.J. Green\GreeA.00,2012,24,1-4,CIN,NFL,16,16,164,97,1350,13.92,11,84.4,59.1%,8.23,A.J. Green,A.J.Green24CIN2012,1,112,< 24
